CDREDE;DE;CODMUN;MUN;CATEG;COD_ESC;TIPOESC;CODVINC;NOMESC;ENDESC;NUMESC;BAIESC;EMAIL;FONE1;ZONA;ENSINO INFANTIL;CLASSES ESPECIAIS;SALA DE RECURSO;ANOS INICIAIS;ANOS FINAIS;ENSINO MÉDIO;EJA – ANOS INICIAS;EJA – ANOS FINAIS;EJA – ENSINO MEDIO
10102;CENTRO;100;SAO PAULO;1;656;8;NULL;FRONTINO GUIMARAES;RUA PAULO GONCALVES;55;SANTANA;E000656A@EDUCACAO.SP.GOV.BR;29504624;1;0;0;0;0;269;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;681;8;NULL;TOLEDO BARBOSA;RUA MARIA CANDIDA;293;VILA GUILHERME;E000681A@EDUCACAO.SP.GOV.BR;29093684;1;0;14;0;402;274;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;711;8;NULL;NARBAL FONTES PROFESSORA;AVENIDA CONCEICAO;806;CARANDIRU;E000711A@EDUCACAO.SP.GOV.BR;29064062;1;0;0;0;0;210;181;0;0;115
10102;CENTRO;100;SAO PAULO;1;3670;8;NULL;FIDELINO DE FIGUEIREDO PROFESSOR;RUA IMACULADA CONCEICAO;71;VILA BUARQUE;E003670A@EDUCACAO.SP.GOV.BR;38262931;1;0;0;0;0;588;667;0;0;71
10102;CENTRO;100;SAO PAULO;1;3712;8;NULL;MARINA CINTRA PROFESSORA;RUA DA CONSOLACAO;1289;CONSOLACAO;E003712A@EDUCACAO.SP.GOV.BR;32569360;1;0;0;0;509;603;0;0;0;0
10102;CENTRO;100;SAO PAULO;2;70981;9;1659;CENTRO DE ATEND SOCIOED AO ADOLESCENTE RIO TURIASSU  CIP;MURSA CORONEL;270;BRAS;NULL;32715319;1;0;0;0;0;0;0;0;0;0
10102;CENTRO;100;SAO PAULO;2;431874;34;1659;CENTRO DE ATEND SOCIOEDUC AO ADOLESCENTE TOPAZIO CI;DOMINGOS PAIVA;170;BRAS;NULL;32715319;1;0;0;0;0;0;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;863;8;NULL;JOSE MARCELINO DA FONSECA MAJOR;RUA SOLDADO BENTINHO;87;PARQUE MANDAQUI;E000863A@EDUCACAO.SP.GOV.BR;22041722;1;0;11;0;533;0;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;1065;8;NULL;DAVID EUGENIO DOS SANTOS PROF;JOSE DE ALMEIDA;1377;VILA MEDEIROS;E001065A@EDUCACAO.SP.GOV.BR;29870622;1;0;10;0;741;0;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;1168;8;NULL;ALFREDO INACIO TRINDADE;JOAO ROSA;86;VILA NIVI;E001168A@EDUCACAO.SP.GOV.BR;29818523;1;0;2;0;0;347;778;0;0;0
10104;NORTE 2;100;SAO PAULO;1;37771;8;NULL;LUZIA GODOY PROFA;AUSONIA;143;VILA MAZZEI;E037771A@EDUCACAO.SP.GOV.BR;22043266;1;0;19;0;412;0;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;906141;8;NULL;ASSIS JOSE AMBROSIO;ALFARROBEIRAS;68;JARDIM PERI;E906141A@EDUCACAO.SP.GOV.BR;38518266;1;0;0;0;554;307;147;0;0;0
10104;NORTE 2;100;SAO PAULO;1;916729;8;NULL;GUSTAVO BARROSO;ALFEU DE ALCANTARA MONTEIRO;100;CONJUNTO HABITACIONAL JOVA RURAL;E916729A@EDUCACAO.SP.GOV.BR;22495502;1;0;20;0;0;587;648;0;0;159
10104;NORTE 2;100;SAO PAULO;1;918748;8;NULL;FELICIO TONETTI;JOSE MILTON BARBOSA;138;CONJUNTO HABITACIONAL JOVA RURAL;E918748A@EDUCACAO.SP.GOV.BR;22410021;1;0;0;0;730;0;0;0;0;0
10104;NORTE 2;100;SAO PAULO;2;985016;6;1173;CEL JTO A EE ALBINO CESAR;CAJAMAR;5;VILA MAZZEI;E001173A@EDUCACAO.SP.GOV.BR;29945804;1;0;0;0;0;0;0;0;0;0
10205;LESTE 5;100;SAO PAULO;1;2112;8;NULL;CONGONHAS DO CAMPO VISCONDE DE;TUIUTI;2051;TATUAPE;E002112A@EDUCACAO.SP.GOV.BR;22952594;1;0;0;0;0;704;0;0;0;117
10205;LESTE 5;100;SAO PAULO;1;2318;8;NULL;SANTOS AMARO DA CRUZ PROFESSOR;BARREIRA GRANDE;795;JARDIM COLORADO;E002318A@EDUCACAO.SP.GOV.BR;22113598;1;0;0;0;0;804;959;0;0;0
10101;NORTE 1;100;SAO PAULO;1;24;8;NULL;GAVIAO PEIXOTO BRIGADEIRO;MOGEIRO;710;VILA PERUS;E000024A@EDUCACAO.SP.GOV.BR;39156810;1;0;0;0;448;528;1019;0;0;353
10101;NORTE 1;100;SAO PAULO;1;73;8;NULL;JULIO DE FARIA E SOUZA PROFESSOR;POMPEU PEQUENO DE SOUZA BRASIL;89;VILA FRANCOS;E000073A@EDUCACAO.SP.GOV.BR;38514186;1;0;0;0;409;0;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;85;8;NULL;JULIO CESAR DE OLIVEIRA PROFESSOR;ALBERTO VEIGA;99;VILA PIRITUBA;E000085A@EDUCACAO.SP.GOV.BR;39016776;1;0;10;0;586;0;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;176;8;NULL;ZENAIDE VILALVA DE ARAUJO PROFESSORA;BELO JARDIM;674;JARDIM MUTINGA;E000176A@EDUCACAO.SP.GOV.BR;39040216;1;0;79;0;0;373;373;0;0;0
10101;NORTE 1;100;SAO PAULO;1;267;8;NULL;ERMANO MARCHETTI;PEDRO MARIGLIANI;192;CHACARA INGLESA;E000267A@EDUCACAO.SP.GOV.BR;39016989;1;0;0;0;0;402;894;0;0;0
10101;NORTE 1;100;SAO PAULO;1;361;8;NULL;PASQUALE PECCICACCO;NAZARIO PAGANO;225;JARDIM MONJOLO;E000361A@EDUCACAO.SP.GOV.BR;39910897;1;0;14;0;614;0;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;553;8;NULL;JACOMO STAVALE PROFESSOR;MANUEL MADRUGA;205;MOINHO VELHO;E000553A@EDUCACAO.SP.GOV.BR;39312880;1;0;0;0;0;705;560;0;0;0
10101;NORTE 1;100;SAO PAULO;1;48598;8;NULL;PAULO TRAJANO DA SILVEIRA SANTOS PROFESSOR;PRAIA DO TUMIARU;320;VILA MARINA;E048598A@EDUCACAO.SP.GOV.BR;39752901;1;0;5;0;540;0;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;130321;8;NULL;THAYANE LUZIMARA COSTA VALCACER PROFESSORA;FRIEDRICH VON VOITH;1790;JARDIM SAO JOAO JARAGUA;E130321A@EDUCACAO.SP.GOV.BR;39434428;1;0;0;0;286;312;272;0;0;0
10101;NORTE 1;100;SAO PAULO;1;559210;10;NULL;DJEKUPE AMBA ARANDY;ESTRADA TURISTICA DO JARAGUA;3710;VILA JARAGUA;E559210A@EDUCACAO.SP.GOV.BR;39035924;1;0;0;0;109;59;37;0;0;0
10101;NORTE 1;100;SAO PAULO;1;901672;8;NULL;RAUL ANTONIO FRAGOSO PROFESSOR;CHARLES SILVER;51;JARDIM SAO RICARDO;E901672A@EDUCACAO.SP.GOV.BR;38367465;1;0;0;0;422;0;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;923624;8;NULL;PARQUE ANHANGUERA;RUA SAO MARCOS;79;PARQUE ANHANGUERA  RESIDENCIAL SOL NASCENTE;E923624A@EDUCACAO.SP.GOV.BR;39420878;1;0;23;0;0;480;416;0;0;116
10102;CENTRO;100;SAO PAULO;1;498;8;NULL;LUIZ GONZAGA RIGHINI PROFESSOR;AVENIDA DEPUTADO EMILIO CARLOS;900;LIMAO;E000498A@EDUCACAO.SP.GOV.BR;38573060;1;0;0;0;0;244;470;0;0;0
10102;CENTRO;100;SAO PAULO;1;784;8;NULL;ANESIA SINCORA PROFESSORA;RUA JOSE BERNARDO PINTO;758;VILA GUILHERME;E000784A@EDUCACAO.SP.GOV.BR;29011005;1;0;0;0;212;195;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;899;8;NULL;PEDRO COSTA DEPUTADO;NILO LUIS MAZZEI;378;VILA ISOLINA MAZZEI;E000899A@EDUCACAO.SP.GOV.BR;29765072;1;0;2;0;320;0;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;917;8;NULL;ANTONIO LISBOA PROFESSOR;RUA PROFESSOR FABIO FANUCCHI;425;BAIRRO JARDIM SAO PAULO;E000917A@EDUCACAO.SP.GOV.BR;29710852;1;0;6;0;0;251;354;0;0;85
10102;CENTRO;100;SAO PAULO;1;1454;8;NULL;ANTONIO FIRMINO DE PROENCA PROF;RUA DA MOOCA;363;MOOCA;E001454A@EDUCACAO.SP.GOV.BR;32093316;1;0;0;0;0;498;424;0;0;0
10102;CENTRO;100;SAO PAULO;1;3414;8;NULL;ANTONIO PRADO CONSELHEIRO;RUA VITORINO CARMILO;621;BARRA FUNDA;E003414A@EDUCACAO.SP.GOV.BR;36623582;1;0;0;0;798;0;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;3621;8;NULL;PRUDENTE DE MORAES;PRACA CEL FERNANDO PRESTES;197;BOM RETIRO;E003621A@EDUCACAO.SP.GOV.BR;33132343;1;0;10;0;1225;0;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;37746;8;NULL;ORLANDO HORACIO VITA PROFESSOR;RUA DIOGO CABRERA;424;IMIRIM;E037746A@EDUCACAO.SP.GOV.BR;22368291;1;0;0;0;464;0;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;37758;8;NULL;DAILY RESENDE FRANCA PROFESSOR;RUA MARIA CURUPAITI;706;VILA ESTER;E037758A@EDUCACAO.SP.GOV.BR;29505116;1;0;1;0;522;0;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;1284;8;NULL;AMENAIDE BRAGA DE QUEIROZ PROFA;BARRA MANSA;480;JARDIM FRANCA;E001284A@EDUCACAO.SP.GOV.BR;22049633;1;0;9;0;0;328;482;0;0;0
10104;NORTE 2;100;SAO PAULO;1;48616;8;NULL;JOAO BAPTISTA ALVES SILVA PROF;MANUEL VIEIRA DA LUZ;384;SITIO DO PIQUERI;E048616A@EDUCACAO.SP.GOV.BR;22431428;1;0;38;0;0;604;519;0;0;0
10104;NORTE 2;100;SAO PAULO;1;904272;8;NULL;MARIA ANTONIETTA DE CASTRO PROFA;INACIO FIRMO;65;JARDIM JULIETA;E904272A@EDUCACAO.SP.GOV.BR;22014515;1;0;11;0;325;0;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;911537;8;NULL;DILSON FUNARO MINISTRO;FRANCISCO MACHADO DA SILVA;1410;JARDIM PERI;E911537A@EDUCACAO.SP.GOV.BR;22584273;1;0;35;0;372;258;159;0;0;80
10104;NORTE 2;100;SAO PAULO;1;913820;8;NULL;FRANCISCO VOCCIO;ITA;SN;VILA SANTOS;E913820A@EDUCACAO.SP.GOV.BR;22315544;1;0;13;0;0;0;362;0;0;0
10205;LESTE 5;100;SAO PAULO;1;673;8;NULL;PAULO EGYDIO DE OLIVEIRA CARVALHO SENADOR;ARARITAGUABA;1264;VILA MARIA;E000673A@EDUCACAO.SP.GOV.BR;26310204;1;0;0;0;0;716;916;0;0;0
10101;NORTE 1;100;SAO PAULO;1;139;8;NULL;MARIANO DE OLIVEIRA PROFESSOR;RUA ALMIRANTE ISAIAS DE NORONHA;13;VILA PEREIRA BARRETO;E000139A@EDUCACAO.SP.GOV.BR;39757083;1;0;0;0;0;352;1153;0;0;289
10101;NORTE 1;100;SAO PAULO;1;41683;8;NULL;OTTO DE BARROS VIDAL PROFESSOR;JOAQUIM JOSE DE LIMA;13;JARAGUA;E041683A@EDUCACAO.SP.GOV.BR;39015288;1;0;0;0;619;0;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;923254;8;NULL;JAIR TOLEDO XAVIER PROFESSOR;JOAQUIM DE ALMEIDA MORAIS;SN;BRASILANDIA;E923254A@EDUCACAO.SP.GOV.BR;39219982;1;0;0;0;0;800;1036;0;0;188
10101;NORTE 1;100;SAO PAULO;1;924398;8;NULL;JARDIM CANAA;ESTRADA CORONEL JOSE GLADIADOR;79;JARDIM CANAA;E924398A@EDUCACAO.SP.GOV.BR;39112625;1;0;0;0;408;0;290;0;0;0
10101;NORTE 1;100;SAO PAULO;2;985004;6;188;CEL JTO A EE ANTONIO C C GUIMARAES FILHO PROFESSOR;MUTINGA;5071;JARDIM SANTO ELIAS;E037392A@TERRA.COM.BR;36214575;1;0;0;0;0;0;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;309;8;NULL;BENEDITO TOLOSA PROFESSOR;PRACA DIRCEU DE LIMA;617;CASA VERDE;E000309A@EDUCACAO.SP.GOV.BR;38572549;1;0;0;0;23;197;216;0;0;0
10102;CENTRO;100;SAO PAULO;1;437;8;NULL;ANGELINA MADUREIRA PROFESSORA;RUA VICENTE FERREIRA LEITE;489;VILA SIQUEIRA;E000437A@EDUCACAO.SP.GOV.BR;39361599;1;0;5;0;624;0;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;536;8;NULL;TARCISIO ALVARES LOBO;RUA ESTELA BORGES MORATO;500;VILA SIQUEIRA;E000536A@EDUCACAO.SP.GOV.BR;39311908;1;0;0;0;0;396;600;0;0;304
10102;CENTRO;100;SAO PAULO;1;577;8;NULL;DULCE FERREIRA BOARIN PROFESSORA;RUA DOUTOR FLEURY SILVEIRA;295;VILA SANTA MARIA;E000577A@EDUCACAO.SP.GOV.BR;38572840;1;0;0;0;0;300;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;848;8;NULL;JOAQUIM LEME DO PRADO PROFESSOR;AVENIDA IMIRIM;2113;IMIRIM;E000848A@EDUCACAO.SP.GOV.BR;22391332;1;0;0;0;0;565;759;0;0;86
10102;CENTRO;100;SAO PAULO;1;929;8;NULL;ANTONIO VIEIRA PADRE;AVENIDA CRUZEIRO DO SUL;3301;CANINDE;E000929A@EDUCACAO.SP.GOV.BR;29506476;1;0;0;0;0;0;786;0;0;0
10102;CENTRO;100;SAO PAULO;2;454734;15;917;PENITENCIARIA FEMININA DA CAPITAL;ZAKI NARCHI;1369;CARANDIRU;PRODUCAO@PFC.SAP.SP.GOV.BR;22211379;1;0;0;0;0;0;0;15;18;17
10104;NORTE 2;100;SAO PAULO;1;371;8;NULL;ANTONIO JOSE LEITE PROF;DEZ DE MAIO;271;VILA AMELIA;E000371A@EDUCACAO.SP.GOV.BR;22583977;1;0;0;0;0;369;1268;0;0;0
10104;NORTE 2;100;SAO PAULO;1;1211;8;NULL;MIGUEL VIEIRA FERREIRA DR;FRANCISCO DE MEDEIROS JORDAO;628;VILA MEDEIROS;E001211A@EDUCACAO.SP.GOV.BR;22015595;1;0;7;0;308;0;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;37783;8;NULL;VERIDIANA CAMACHO CARVALHO GOMES PROFA;CARLOS DOS SANTOS;781;JARDIM BRASIL ZONA NORTE;E037783A@EDUCACAO.SP.GOV.BR;22426177;1;0;0;0;0;452;648;0;0;304
10104;NORTE 2;100;SAO PAULO;1;48604;8;NULL;PAULO LEIVAS MACALAO PASTOR;ALTO SUCURIU;327;JARDIM PERI;E048604A@EDUCACAO.SP.GOV.BR;38513395;1;0;17;0;583;347;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;579476;8;NULL;SOCRATES BRASILEIRO SAMPAIO DE SOUZA VIEIRA DE OLIVEIRA;RUA ANTONIO SIMPLICIO;170;PARQUE RAMOS FREITAS;E579476A@EDUCACAO.SP.GOV.BR;22030955;1;0;0;0;196;0;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;906797;8;NULL;IZAC SILVERIO PROF;BITENCOURT DA SILVA;218;JARDIM VIRGINIA BIANCA;E906797A@EDUCACAO.SP.GOV.BR;22043826;1;0;21;0;373;0;0;0;0;0
10205;LESTE 5;100;SAO PAULO;1;1971;8;NULL;MOACYR CAMPOS PROFESSOR;RIO DAS PEDRAS;2022;JARDIM ARICANDUVA;E001971A@EDUCACAO.SP.GOV.BR;27213045;1;0;14;0;0;442;1329;0;0;0
10205;LESTE 5;100;SAO PAULO;1;2008;8;NULL;JOAO DIAS DA SILVEIRA PROFESSOR;SOUSA BREVES;80;VILA ZILDA;E002008A@EDUCACAO.SP.GOV.BR;20916860;1;0;0;0;0;0;739;0;0;0
10205;LESTE 5;100;SAO PAULO;1;2252;8;NULL;ASCENDINO REIS PROFESSOR;TUIUTI;2865;TATUAPE;E002252A@EDUCACAO.SP.GOV.BR;26730125;1;0;0;0;0;0;1462;0;0;0
10205;LESTE 5;100;SAO PAULO;2;428875;34;759;CENTRO DE ATEND SOCIOEDUC AO ADOLESCENTE SAO PAULO CI;AVENIDA CONDESSA ELISABETH ROBIANO;450;BELEM;CINTIATRDS@SP.GOV.BR;32041519;1;0;0;0;0;0;0;0;0;0
10207;LESTE 1;100;SAO PAULO;1;2835;8;NULL;ERMELINO MATARAZZO;ABEL TAVARES;SN;JARDIM BELEM;E002835A@EDUCACAO.SP.GOV.BR;25465969;1;0;0;0;0;391;380;0;0;226
10207;LESTE 1;100;SAO PAULO;1;3116;8;NULL;APPARECIDA RAHAL PROFESSORA;FONTOURA XAVIER;542;ITAQUERA;E003116A@EDUCACAO.SP.GOV.BR;22860013;1;0;0;0;0;582;501;0;0;0
10207;LESTE 1;100;SAO PAULO;1;36778;8;NULL;LUIGI PIRANDELLO;LARANJA DA CHINA;50;JARDIM DAS CAMELIAS;E036778A@EDUCACAO.SP.GOV.BR;20533644;1;0;0;0;871;0;0;0;0;0
10207;LESTE 1;100;SAO PAULO;1;37345;8;NULL;TIDE SETUBAL;JAIME BARCELOS;535;VILA JACUI;E037345A@EDUCACAO.SP.GOV.BR;22970138;1;0;0;0;0;405;446;0;0;0
10207;LESTE 1;100;SAO PAULO;1;902573;8;NULL;PAULO ROBERTO FAGGIONI PROFESSOR;TABACARANA;10;LIMOEIRO;E902573A@EDUCACAO.SP.GOV.BR;20419584;1;0;0;0;0;424;603;0;0;0
10101;NORTE 1;100;SAO PAULO;1;97;8;NULL;RENATO DE ARRUDA PENTEADO PROFESSOR;FLORIANO DA COSTA BARROSO;10;JARDIM CAROMBE;E000097A@EDUCACAO.SP.GOV.BR;39213350;1;0;0;0;0;0;889;0;0;191
10101;NORTE 1;100;SAO PAULO;1;36500;8;NULL;GERALDO HOMERO FRANCA OTTONI PROFESSOR;BERNARDO ROLIM DE MOURA;129;VILA MIRANTE;E036500A@EDUCACAO.SP.GOV.BR;39719003;1;0;0;0;445;0;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;37102;8;NULL;MARTIN EGIDIO DAMY;PAULO GARCIA AQUILINE;406;BRASILANDIA;E037102A@EDUCACAO.SP.GOV.BR;39213300;1;0;0;0;0;0;471;0;0;61
10101;NORTE 1;100;SAO PAULO;1;40460;8;NULL;OSMAR BASTOS CONCEICAO PROFESSOR;PINHEIRO DE FARIA;40;JARDIM MARISTELA;E040460A@EDUCACAO.SP.GOV.BR;39751500;1;0;0;0;467;0;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;414612;8;NULL;NOE RODRIGUES PADRE;SANTA CRUZ DA CONCEICAO;151;PARQUE BELEM;E414612A@EDUCACAO.SP.GOV.BR;38516405;1;0;0;0;874;0;0;0;0;0
10101;NORTE 1;100;SAO PAULO;1;457243;8;NULL;MORRO DOCE;MARIO PALMERIO;SN;JARDIM ANHANGUERA;E457243A@EDUCACAO.SP.GOV.BR;39127160;1;0;0;0;528;639;0;0;0;320
10101;NORTE 1;100;SAO PAULO;1;910296;8;NULL;FRIEDRICH VON VOITH;ANTONIO DE CABEZON;398;PARQUE NACOES UNIDAS;E910296A@EDUCACAO.SP.GOV.BR;39411291;1;0;0;0;829;0;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;358;8;NULL;MATILDE MACEDO SOARES;JOSE SORIANO DE SOUSA;30;CASA VERDE ALTA;E000358A@EDUCACAO.SP.GOV.BR;39511907;1;0;5;0;272;292;0;0;0;0
10102;CENTRO;100;SAO PAULO;1;760;8;NULL;AFRANIO PEIXOTO;RUA MARIA CANDIDA;1936;VILA GUILHERME;E000760A@EDUCACAO.SP.GOV.BR;29090009;1;0;0;0;0;143;454;0;0;0
10102;CENTRO;100;SAO PAULO;1;1521;8;NULL;PAULO LUIG FREI;CARLOS DE CAMPOS;841;PARI;E001521A@EDUCACAO.SP.GOV.BR;20964884;1;0;0;0;446;373;75;0;0;0
10102;CENTRO;100;SAO PAULO;2;454382;15;917;PENITENCIARIA FEMININA DE SANTANA;AVENIDA GENERAL ATALIBA LEONEL;656;SANTANA;E000917A@EDUCACAO.SP.GOV.BR;22213001;1;0;0;0;0;0;0;36;41;37
10104;NORTE 2;100;SAO PAULO;1;607;8;NULL;TITO PRATES DA FONSECA;MENDONCA JUNIOR;611;VILA DOS ANDRADES;E000607A@EDUCACAO.SP.GOV.BR;38516330;1;0;0;0;0;610;889;0;0;364
10104;NORTE 2;100;SAO PAULO;1;772;8;NULL;VISCONDE DE INHAUMA ALMIRANTE;GUACA;1382;LAUZANE PAULISTA;E000772A@EDUCACAO.SP.GOV.BR;22317192;1;0;9;0;642;0;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;1181;8;NULL;RAFAEL DE MORAES LIMA PROF;LAVINIA PACHECO E SILVA;SN;JARDIM LEONOR MENDES DE BARROS;E001181A@EDUCACAO.SP.GOV.BR;22043300;1;0;29;0;751;0;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;1223;8;NULL;MARIA PAULA MARCONDES DOMINGUES PROFA;MANUEL MORAIS PONTES;395;VILA ALBERTINA;E001223A@EDUCACAO.SP.GOV.BR;22043288;1;0;0;0;416;0;0;0;0;0
10104;NORTE 2;100;SAO PAULO;1;1235;8;NULL;CYRENE DE OLIVEIRA LAET DONA;ESTER ELISA;227;VILA NILO;E001235A@EDUCACAO.SP.GOV.BR;22495318;1;0;0;0;0;274;338;0;0;196
10104;NORTE 2;100;SAO PAULO;1;37382;8;NULL;ELZA SARAIVA MONTEIRO PROFA;AVENIDA MARIANA CALIGIORI RONCHETTI;1200;JARDIM PERI;E037382A@EDUCACAO.SP.GOV.BR;22580161;1;0;17;0;556;479;677;0;0;0
10205;LESTE 5;100;SAO PAULO;1;700;8;NULL;HORACIO LAFER MINISTRO;DIAS DA SILVA;1464;VILA MARIA;E000700A@EDUCACAO.SP.GOV.BR;26365022;1;0;0;0;896;0;0;0;0;0
10205;LESTE 5;100;SAO PAULO;1;1491;8;NULL;ANNA TEIXEIRA PRADO ZACHARIAS PROFESSORA;PAULINA;149;CHACARA MAFALDA;E001491A@EDUCACAO.SP.GOV.BR;22136265;1;0;13;0;0;339;0;0;0;0
10205;LESTE 5;100;SAO PAULO;1;1703;8;NULL;MARIO MARQUES DE OLIVEIRA PROFESSOR;BUENOPOLIS;234;VILA SANTA CLARA;E001703A@EDUCACAO.SP.GOV.BR;29650384;1;0;0;0;0;0;1771;0;0;32
10205;LESTE 5;100;SAO PAULO;1;1910;8;NULL;CLEMENTE QUAGLIO PROFESSOR;MANUEL ONHA;234;VILA ORATORIO;E001910A@EDUCACAO.SP.GOV.BR;29656564;1;0;0;0;0;115;96;0;0;0
10205;LESTE 5;100;SAO PAULO;1;2161;8;NULL;SALVADOR ROCCO PROFESSOR;RENATO RINALDI;31;VILA CARRAO;E002161A@EDUCACAO.SP.GOV.BR;20970607;1;0;0;0;0;300;321;0;0;0
10205;LESTE 5;100;SAO PAULO;1;2197;8;NULL;IRENE DE LIMA PAIVA PROFESSORA;LUTECIA;1966;VILA CARRAO;E002197A@EDUCACAO.SP.GOV.BR;20970189;1;0;0;0;0;517;634;0;0;0
10205;LESTE 5;100;SAO PAULO;1;2297;8;NULL;ORVILLE DERBY;SAIGON;55;VILA FORMOSA;E002297A@EDUCACAO.SP.GOV.BR;26742977;1;0;0;0;0;253;592;0;0;205
10205;LESTE 5;100;SAO PAULO;1;36973;8;NULL;BRANCA CASTRO CANTO E MELO PROFESSORA;COSTA BARROS;2521;SITIO PINHEIRINHO;"E036973A@EDUCACAO.SP.GOV.BR ";22167658;1;0;0;0;0;233;306;0;0;0
10205;LESTE 5;100;SAO PAULO;1;39100;8;NULL;GASTAO STRANG PROFESSOR;MAFALDA;405;CHACARA BELENZINHO;E039100A@EDUCACAO.SP.GOV.BR;21546677;1;0;0;0;460;0;0;0;0;0
10207;LESTE 1;100;SAO PAULO;1;2410;8;NULL;THEODOMIRO EMERIQUE PROFESSOR;UICO;533;VILA MARIETA;E002410A@EDUCACAO.SP.GOV.BR;27981864;1;0;11;0;628;0;0;0;0;0
